Word(s),Spoken Form (If Different)
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
nmap,N map
API
HTTP
CSV
barcode,bar code
barcode,bar coat
data rest,that arrest
pull request,poor request
track scans,tracks cans
track scan,tracks can
REST API,rest pi
Rescache,re cash
Rescache,red cast
Rescache,rez cash
autowired,otto wired
username,use her name
WMSC,dub corps
WMSC,dub cores
WMSC,dob cores
WMSC,dub court
localhost,local host
json,Jason
json,ja on
json,ja saw
json,jason on
LipSurf,lips surf
LipSurf,lip serf
LipSurf,lip serve
Wanikani,Juan connie
Wanikani,one connie
Spring Data REST,spring data arrest
AMQP,am cue
AMQP,am pu
AMQP,am cup
AMQP,a cup
RabbitMQ,rabbit em cu
RabbitMQ,rabbit him cu
JUnit,ja unit
whallocator,warehouse allocator
whallocator,while locator
endpoints,end points
endpoints,and points
endpoint,end point
endpoint,and point
barcodes,bar codes
username,user her name
username,use her name
username,user your name
username,use your name
username,user name
audit,audit it
Secaucus,sea caucus
putaway,put away
assert equals,assert equal
MySQL,my sequel
SQL, sequel
panda,pan a
idempotent,item potent
baywatch,bay watch
assert equals, assert equals
to depot id,too deep id
from depot id,from deep id
inventory unit request status current,inventory unit requests that is current
wave sorter induct,waves order induct
username,use her name
fulfillment seq,fulfillment seek
allocated pickable,allocated packable
rescache,rez cash
Secaucus,see coccus
hey folks,hay folks
hi folks,high folks
console,consol
depot,deep out
sample sales,sample sails
to station id,two station id
logical rack count,logical rat count
Tobii eye tracker,toby eye tracker
Tobii,toby
tokenize,token eyes
order id,water id
order group id,water group id
rack counts,rat counts
rack count,rat count
saru
kanji,congee
Xbox
