Replacement,Original
I,i
I'm,i'm
I've,i've
I'll,i'll
I'd,i'd
Monday,monday
Mondays,mondays
Tuesday,tuesday
Tuesdays,tuesdays
Wednesday,wednesday
Wednesdays,wednesdays
Thursday,thursday
Thursdays,thursdays
Friday,friday
Fridays,fridays
Saturday,saturday
Saturdays,saturdays
Sunday,sunday
Sundays,sundays
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december

queue,cue
queue,cu
CX,sex
pom,palm
val,vow
splunk,spunk
for,four
pool,Pool
tech,tach
tech,te
saleable,salable
rows,rose
hiragana,he dagon
hiragana,head agana
hiragana,he agana
curry,kuri
fulfillment seq,fulfillment seek
Wanikani,Annie connie
